bank,year,doctype,total_pages,kept_pages,scanned_pages,char_count,word_count
HSBC,2017,DEDICATED,20,20,0,66502,10072
HSBC,2018,DEDICATED,42,42,0,129985,20063
HSBC,2019,DEDICATED,64,64,0,263800,40708
HSBC,2020,ANNUAL,382,127,0,707078,108102
HSBC,2021,ANNUAL,410,155,0,881078,134768
HSBC,2022,ANNUAL,432,171,0,980257,149135
HSBC,2023,ANNUAL,450,175,0,978593,148575
HSBC,2024,ANNUAL,460,163,0,921552,139656
Barclays,2017,ANNUAL,271,34,0,156549,23823
Barclays,2018,ANNUAL,172,21,0,89440,13549
Barclays,2019,ANNUAL,167,31,0,156780,23714
Barclays,2020,ANNUAL,185,36,0,192775,29521
Barclays,2021,ANNUAL,207,47,0,233399,35479
Barclays,2022,ANNUAL,226,57,0,289123,43750
Barclays,2023,ANNUAL,235,58,0,308462,46294
Barclays,2024,ANNUAL,244,62,0,330482,49661
Lloyds,2017,ANNUAL,278,69,0,390462,59424
Lloyds,2018,ANNUAL,300,76,0,470353,72765
Lloyds,2019,DEDICATED,27,27,0,38502,5852
Lloyds,2020,DEDICATED,101,101,0,372083,59576
Lloyds,2021,DEDICATED,65,65,0,285194,45216
Lloyds,2022,DEDICATED,77,77,0,321691,50361
Lloyds,2023,DEDICATED,178,178,0,691717,113453
Lloyds,2024,DEDICATED,154,154,0,715046,112953
Natwest,2017,ANNUAL,233,20,0,99204,15497
Natwest,2018,ANNUAL,143,22,0,152000,23185
Natwest,2019,ANNUAL,164,30,0,206899,31522
Natwest,2020,ANNUAL,176,38,0,268050,40064
Natwest,2021,DEDICATED,99,99,0,346231,53659
Natwest,2022,DEDICATED,72,72,0,288893,45838
Natwest,2023,DEDICATED,65,65,0,266279,40110
Natwest,2024,DEDICATED,99,99,0,449862,67772
StandardChartered,2017,ANNUAL,344,61,0,282683,43320
StandardChartered,2018,DEDICATED,22,22,0,55732,8587
StandardChartered,2019,DEDICATED,14,14,0,65099,10200
StandardChartered,2020,DEDICATED,26,26,0,64087,9771
StandardChartered,2021,ANNUAL,1,0,0,0,0
StandardChartered,2022,ANNUAL,512,187,0,837100,127692
StandardChartered,2023,ANNUAL,536,208,0,878905,133294
StandardChartered,2024,ANNUAL,410,161,0,718180,108667
Santander,2017,DEDICATED,45,45,0,195561,34886
Santander,2018,DEDICATED,46,46,0,88255,13687
Santander,2019,DEDICATED,27,27,0,66233,9860
Santander,2020,DEDICATED,40,40,0,136299,23004
Santander,2021,DEDICATED,49,49,0,146859,26181
Santander,2022,DEDICATED,46,46,0,140335,21172
Santander,2023,DEDICATED,64,64,0,204597,33346
Santander,2024,DEDICATED,111,111,0,335887,50391
