bank,year,clean_tokens
Barclays,2017,11566
Barclays,2018,6615
Barclays,2019,11378
Barclays,2020,13864
Barclays,2021,17083
Barclays,2022,21546
Barclays,2023,23030
Barclays,2024,24419
HSBC,2017,5120
HSBC,2018,9824
HSBC,2019,19974
HSBC,2020,53596
HSBC,2021,67151
HSBC,2022,75050
HSBC,2023,74601
HSBC,2024,70264
Lloyds,2017,29375
Lloyds,2018,35220
Lloyds,2019,2998
Lloyds,2020,26725
Lloyds,2021,21577
Lloyds,2022,24325
Lloyds,2023,51357
Lloyds,2024,54293
Natwest,2017,7437
Natwest,2018,11536
Natwest,2019,15657
Natwest,2020,20304
Natwest,2021,25207
Natwest,2022,21156
Natwest,2023,20108
Natwest,2024,34271
Santander,2017,13467
Santander,2018,6760
Santander,2019,4516
Santander,2020,9446
Santander,2021,9757
Santander,2022,10428
Santander,2023,14719
Santander,2024,25841
StandardChartered,2017,21493
StandardChartered,2018,3913
StandardChartered,2019,4760
StandardChartered,2020,4615
StandardChartered,2021,0
StandardChartered,2022,64853
StandardChartered,2023,67213
StandardChartered,2024,54714
