bank,year,topic,n_sentences,pos,neg,neu,net_positivity
Barclays,2017,0,22,0.15484251081943512,0.04546506330370903,0.7996923327445984,0.10937744751572609
Barclays,2017,1,25,0.18070346117019653,0.02462286874651909,0.7946736216545105,0.15608059242367744
Barclays,2017,2,18,0.39016398787498474,0.011739611625671387,0.5980964303016663,0.37842437624931335
Barclays,2017,3,52,0.17383813858032227,0.1335219293832779,0.692639946937561,0.04031620919704437
Barclays,2017,4,37,0.24284406006336212,0.05762926861643791,0.6995266079902649,0.1852147914469242
Barclays,2017,5,33,0.4341300129890442,0.037679523229599,0.5281904935836792,0.3964504897594452
Barclays,2017,6,13,0.13448861241340637,0.3821645975112915,0.4833467900753021,-0.24767598509788513
Barclays,2017,7,177,0.3781545162200928,0.09237955510616302,0.5294660925865173,0.28577496111392975
Barclays,2017,8,18,0.2509714663028717,0.06495073437690735,0.6840777397155762,0.18602073192596436
Barclays,2017,9,42,0.14852988719940186,0.19002172350883484,0.6614483594894409,-0.04149183630943298
Barclays,2018,0,12,0.04593006148934364,0.10762929171323776,0.8464406132698059,-0.06169923022389412
Barclays,2018,1,14,0.24492207169532776,0.09099851548671722,0.664079487323761,0.15392355620861053
Barclays,2018,2,10,0.25205400586128235,0.020528243854641914,0.7274178266525269,0.23152576200664043
Barclays,2018,3,33,0.0944983959197998,0.1964612454175949,0.7090403437614441,-0.1019628494977951
Barclays,2018,4,23,0.07584217190742493,0.10049628466367722,0.8236614465713501,-0.02465411275625229
Barclays,2018,5,16,0.34777411818504333,0.01296946033835411,0.6392564177513123,0.3348046578466892
Barclays,2018,6,42,0.20258013904094696,0.15332725644111633,0.6440926790237427,0.04925288259983063
Barclays,2018,7,15,0.1935865879058838,0.2245272845029831,0.5818861126899719,-0.030940696597099304
Barclays,2018,8,6,0.09771718829870224,0.024918528273701668,0.8773642182350159,0.07279866002500057
Barclays,2018,9,60,0.11387062817811966,0.16371865570545197,0.7224107980728149,-0.049848027527332306
Barclays,2019,0,32,0.22274968028068542,0.15518854558467865,0.6220617890357971,0.06756113469600677
Barclays,2019,1,35,0.21999011933803558,0.10371122509241104,0.6762987375259399,0.11627889424562454
Barclays,2019,2,21,0.27350959181785583,0.019966866821050644,0.706523597240448,0.2535427249968052
Barclays,2019,3,50,0.09114138782024384,0.2977098226547241,0.6111488938331604,-0.20656843483448029
Barclays,2019,4,34,0.15714430809020996,0.16485844552516937,0.6779972314834595,-0.007714137434959412
Barclays,2019,5,20,0.22689485549926758,0.055869609117507935,0.7172355651855469,0.17102524638175964
Barclays,2019,6,10,0.16549921035766602,0.25284072756767273,0.5816600322723389,-0.08734151721000671
Barclays,2019,7,18,0.22078590095043182,0.24602392315864563,0.533190131187439,-0.025238022208213806
Barclays,2019,8,7,0.15687571465969086,0.03165879100561142,0.8114655613899231,0.12521692365407944
Barclays,2019,9,140,0.14200346171855927,0.17052732408046722,0.6874693036079407,-0.02852386236190796
Barclays,2020,0,44,0.2627153694629669,0.12852948904037476,0.6087551116943359,0.13418588042259216
Barclays,2020,1,38,0.2297639101743698,0.11512932926416397,0.6551067233085632,0.11463458091020584
Barclays,2020,2,21,0.42191097140312195,0.014561840333044529,0.5635271668434143,0.4073491310700774
Barclays,2020,3,47,0.22747845947742462,0.15772591531276703,0.6147956848144531,0.06975254416465759
Barclays,2020,4,31,0.18717527389526367,0.08970193564891815,0.7231228947639465,0.09747333824634552
Barclays,2020,5,34,0.3820229470729828,0.019697507843375206,0.5982796549797058,0.3623254392296076
Barclays,2020,6,10,0.21314962208271027,0.045679375529289246,0.7411710023880005,0.16747024655342102
Barclays,2020,7,68,0.49189242720603943,0.029769491404294968,0.47833800315856934,0.46212293580174446
Barclays,2020,8,21,0.37524229288101196,0.043711401522159576,0.5810462832450867,0.3315308913588524
Barclays,2020,9,167,0.178395077586174,0.14625321328639984,0.675351619720459,0.03214186429977417
Barclays,2021,0,39,0.28660890460014343,0.1538069248199463,0.5595840215682983,0.13280197978019714
Barclays,2021,1,41,0.2605103850364685,0.1321689784526825,0.6073206663131714,0.128341406583786
Barclays,2021,2,20,0.34554794430732727,0.11191953718662262,0.5425325632095337,0.23362840712070465
Barclays,2021,3,61,0.1394890695810318,0.25299400091171265,0.6075170040130615,-0.11350493133068085
Barclays,2021,4,39,0.18897856771945953,0.10038856416940689,0.7106328010559082,0.08859000355005264
Barclays,2021,5,27,0.35214218497276306,0.020533571019768715,0.6273242831230164,0.33160861395299435
Barclays,2021,6,12,0.2643839716911316,0.09153518825769424,0.6440808773040771,0.17284878343343735
Barclays,2021,7,20,0.3155798614025116,0.05418216437101364,0.6302379965782166,0.26139769703149796
Barclays,2021,8,19,0.364789754152298,0.02851191721856594,0.6066982746124268,0.33627783693373203
Barclays,2021,9,258,0.18673673272132874,0.14143817126750946,0.6718252301216125,0.045298561453819275
Barclays,2022,0,57,0.21052470803260803,0.14720098674297333,0.6422742605209351,0.0633237212896347
Barclays,2022,1,57,0.27981409430503845,0.11894003301858902,0.6012458801269531,0.16087406128644943
Barclays,2022,2,80,0.38008472323417664,0.10514336824417114,0.5147718191146851,0.2749413549900055
Barclays,2022,3,67,0.1955679953098297,0.18569383025169373,0.6187381744384766,0.009874165058135986
Barclays,2022,4,45,0.235850527882576,0.13019776344299316,0.633951723575592,0.10565276443958282
Barclays,2022,5,45,0.33123284578323364,0.0486818365752697,0.6200853586196899,0.28255100920796394
Barclays,2022,6,11,0.19478745758533478,0.18211226165294647,0.6231002807617188,0.012675195932388306
Barclays,2022,7,18,0.30439239740371704,0.15085113048553467,0.5447565317153931,0.15354126691818237
Barclays,2022,8,21,0.31699034571647644,0.013488208875060081,0.6695213913917542,0.30350213684141636
Barclays,2022,9,315,0.19262515008449554,0.1464398056268692,0.6609349250793457,0.04618534445762634
Barclays,2023,0,66,0.17747928202152252,0.18988771736621857,0.6326330304145813,-0.012408435344696045
Barclays,2023,1,76,0.16729766130447388,0.20489107072353363,0.6278113722801208,-0.03759340941905975
Barclays,2023,2,77,0.3608093857765198,0.19220538437366486,0.44698527455329895,0.16860400140285492
Barclays,2023,3,75,0.14720571041107178,0.25179940462112427,0.600994884967804,-0.10459369421005249
Barclays,2023,4,57,0.17301243543624878,0.12790827453136444,0.699079155921936,0.04510416090488434
Barclays,2023,5,38,0.32298895716667175,0.07173504680395126,0.6052759289741516,0.2512539103627205
Barclays,2023,6,10,0.18823781609535217,0.16785356402397156,0.6439086198806763,0.020384252071380615
Barclays,2023,7,26,0.29634350538253784,0.12334617972373962,0.5803102850914001,0.17299732565879822
Barclays,2023,8,23,0.30489322543144226,0.019993528723716736,0.6751132607460022,0.2848996967077255
Barclays,2023,9,355,0.20419403910636902,0.15953510999679565,0.6362711191177368,0.044658929109573364
Barclays,2024,0,62,0.13711823523044586,0.14829686284065247,0.7145848274230957,-0.011178627610206604
Barclays,2024,1,78,0.1522819995880127,0.18539933860301971,0.6623186469078064,-0.03311733901500702
Barclays,2024,2,72,0.30854445695877075,0.14839038252830505,0.5430651307106018,0.1601540744304657
Barclays,2024,3,86,0.11476955562829971,0.19277246296405792,0.6924579739570618,-0.07800290733575821
Barclays,2024,4,68,0.1986376941204071,0.09961562603712082,0.7017467021942139,0.09902206808328629
Barclays,2024,5,44,0.2734558582305908,0.05466075241565704,0.6718833446502686,0.21879510581493378
Barclays,2024,6,9,0.18426577746868134,0.16587860882282257,0.6498556137084961,0.018387168645858765
Barclays,2024,7,33,0.217640683054924,0.14082029461860657,0.6415390372276306,0.07682038843631744
Barclays,2024,8,24,0.13874253630638123,0.03790155425667763,0.8233558535575867,0.1008409820497036
Barclays,2024,9,400,0.17859914898872375,0.17210489511489868,0.6492961645126343,0.006494253873825073
HSBC,2017,0,15,0.2680177092552185,0.017835566774010658,0.7141467332839966,0.25018214248120785
HSBC,2017,1,14,0.18484650552272797,0.10694556683301926,0.708207905292511,0.07790093868970871
HSBC,2017,2,20,0.4390535354614258,0.054063159972429276,0.5068833827972412,0.3849903754889965
HSBC,2017,3,9,0.3726041316986084,0.011574032716453075,0.6158217787742615,0.3610300989821553
HSBC,2017,4,10,0.41236457228660583,0.10676993429660797,0.480865478515625,0.30559463798999786
HSBC,2017,5,100,0.29916656017303467,0.02719995751976967,0.6736333966255188,0.271966602653265
HSBC,2017,6,4,0.24532632529735565,0.016393231227993965,0.7382804155349731,0.2289330940693617
HSBC,2017,7,10,0.4593806862831116,0.013159828260540962,0.5274595022201538,0.4462208580225706
HSBC,2017,8,8,0.302062064409256,0.014483598992228508,0.6834543943405151,0.2875784654170275
HSBC,2017,9,6,0.45216628909111023,0.010543279349803925,0.5372903943061829,0.4416230097413063
HSBC,2018,0,60,0.20799162983894348,0.08682067692279816,0.7051876187324524,0.12117095291614532
HSBC,2018,1,15,0.27098071575164795,0.016674358397722244,0.7123448848724365,0.2543063573539257
HSBC,2018,2,51,0.32595109939575195,0.05489106848835945,0.6191577911376953,0.2710600309073925
HSBC,2018,3,44,0.36464110016822815,0.10118997097015381,0.5341689586639404,0.26345112919807434
HSBC,2018,4,16,0.29174095392227173,0.032184477895498276,0.6760746240615845,0.25955647602677345
HSBC,2018,5,178,0.33012446761131287,0.05975896865129471,0.6101165413856506,0.27036549896001816
HSBC,2018,6,8,0.273161381483078,0.020116960629820824,0.7067216634750366,0.2530444208532572
HSBC,2018,7,21,0.4088836908340454,0.05633651092648506,0.5347798466682434,0.35254717990756035
HSBC,2018,8,28,0.3516443371772766,0.14686976373195648,0.5014859437942505,0.20477457344532013
HSBC,2018,9,22,0.18000195920467377,0.11410707980394363,0.7058908939361572,0.06589487940073013
HSBC,2019,0,142,0.3539559841156006,0.07688020914793015,0.5691635608673096,0.27707577496767044
HSBC,2019,1,61,0.3073325455188751,0.04801448807120323,0.6446529626846313,0.2593180574476719
HSBC,2019,2,51,0.32763156294822693,0.06797252595424652,0.6043959259986877,0.2596590369939804
HSBC,2019,3,99,0.327436625957489,0.0754062756896019,0.5971571803092957,0.2520303502678871
HSBC,2019,4,41,0.2519764304161072,0.033369019627571106,0.7146546244621277,0.21860741078853607
HSBC,2019,5,318,0.35756486654281616,0.07271412760019302,0.5697208642959595,0.28485073894262314
HSBC,2019,6,21,0.2569218575954437,0.015530383214354515,0.7275477647781372,0.2413914743810892
HSBC,2019,7,53,0.32414793968200684,0.0414123460650444,0.6344397068023682,0.28273559361696243
HSBC,2019,8,44,0.3582186698913574,0.032198820263147354,0.6095824837684631,0.32601984962821007
HSBC,2019,9,38,0.21797755360603333,0.07825416326522827,0.703768253326416,0.13972339034080505
HSBC,2020,0,321,0.32793086767196655,0.12642158567905426,0.5456476807594299,0.2015092819929123
HSBC,2020,1,71,0.38669073581695557,0.08832894265651703,0.5249802470207214,0.29836179316043854
HSBC,2020,2,63,0.3753146529197693,0.025185825303196907,0.5994996428489685,0.3501288276165724
HSBC,2020,3,99,0.39717602729797363,0.061749618500471115,0.5410746335983276,0.3354264087975025
HSBC,2020,4,50,0.3970557749271393,0.06112302839756012,0.541821300983429,0.33593274652957916
HSBC,2020,5,110,0.42900219559669495,0.03557117283344269,0.5354267358779907,0.39343102276325226
HSBC,2020,6,10,0.23356521129608154,0.1909426599740982,0.5754921436309814,0.04262255132198334
HSBC,2020,7,65,0.3618943393230438,0.04732349142432213,0.590782105922699,0.3145708478987217
HSBC,2020,8,36,0.32299116253852844,0.10932955145835876,0.5676793456077576,0.21366161108016968
HSBC,2020,9,66,0.259773850440979,0.13902029395103455,0.6012057065963745,0.12075355648994446
HSBC,2021,0,267,0.35279300808906555,0.08816194534301758,0.5590450167655945,0.264631062746048
HSBC,2021,1,98,0.3381061553955078,0.08475363254547119,0.5771400928497314,0.2533525228500366
HSBC,2021,2,124,0.30310219526290894,0.04511057958006859,0.6517874002456665,0.25799161568284035
HSBC,2021,3,68,0.4013631343841553,0.022136615589261055,0.5765001773834229,0.3792265187948942
HSBC,2021,4,50,0.3009977638721466,0.05343126878142357,0.6455710530281067,0.24756649509072304
HSBC,2021,5,115,0.334993451833725,0.043674591928720474,0.6213318705558777,0.2913188599050045
HSBC,2021,6,18,0.3101371228694916,0.0222384724766016,0.6676243543624878,0.28789865039289
HSBC,2021,7,56,0.40422123670578003,0.0521637462079525,0.5436150431632996,0.35205749049782753
HSBC,2021,8,36,0.2632151246070862,0.0969596803188324,0.6398252248764038,0.16625544428825378
HSBC,2021,9,42,0.3089752197265625,0.057561419904232025,0.6334633827209473,0.2514137998223305
HSBC,2022,0,260,0.3434675335884094,0.09031809121370316,0.566214382648468,0.25314944237470627
HSBC,2022,1,132,0.3184735178947449,0.06898068636655807,0.6125457882881165,0.2494928315281868
HSBC,2022,2,112,0.4176025986671448,0.03360338136553764,0.5487937927246094,0.38399921730160713
HSBC,2022,3,65,0.3321417570114136,0.09505052119493484,0.5728076696395874,0.23709123581647873
HSBC,2022,4,71,0.31646835803985596,0.07071514427661896,0.6128163933753967,0.245753213763237
HSBC,2022,5,85,0.33543291687965393,0.04239568114280701,0.6221714615821838,0.2930372357368469
HSBC,2022,6,18,0.2474939227104187,0.03080068714916706,0.721705436706543,0.21669323556125164
HSBC,2022,7,41,0.49888136982917786,0.07371266186237335,0.42740604281425476,0.4251687079668045
HSBC,2022,8,30,0.2612690031528473,0.04749017953872681,0.6912407279014587,0.21377882361412048
HSBC,2022,9,35,0.35222941637039185,0.043380651623010635,0.6043898463249207,0.3088487647473812
HSBC,2023,0,257,0.31622591614723206,0.046379633247852325,0.6373944878578186,0.26984628289937973
HSBC,2023,1,133,0.3108466565608978,0.048535384237766266,0.6406177878379822,0.26231127232313156
HSBC,2023,2,132,0.3286101520061493,0.04218659549951553,0.6292033195495605,0.28642355650663376
HSBC,2023,3,46,0.24302969872951508,0.08342484384775162,0.6735454797744751,0.15960485488176346
HSBC,2023,4,75,0.3231406807899475,0.08128423988819122,0.5955751538276672,0.2418564409017563
HSBC,2023,5,93,0.29543063044548035,0.03882323578000069,0.6657461524009705,0.25660739466547966
HSBC,2023,6,19,0.22968992590904236,0.014776090160012245,0.7555339932441711,0.2149138357490301
HSBC,2023,7,29,0.46092337369918823,0.042937345802783966,0.496139258146286,0.41798602789640427
HSBC,2023,8,38,0.15182363986968994,0.06665538251399994,0.7815210223197937,0.08516825735569
HSBC,2023,9,23,0.3102675676345825,0.028743989765644073,0.660988450050354,0.28152357786893845
HSBC,2024,0,276,0.2822000980377197,0.07258100062608719,0.6452187299728394,0.20961909741163254
HSBC,2024,1,134,0.29234880208969116,0.09195195138454437,0.615699052810669,0.2003968507051468
HSBC,2024,2,123,0.33861953020095825,0.08024898916482925,0.5811313390731812,0.258370541036129
HSBC,2024,3,74,0.3048474192619324,0.07699890434741974,0.6181535720825195,0.22784851491451263
HSBC,2024,4,67,0.37265893816947937,0.036365997046232224,0.5909749865531921,0.33629294112324715
HSBC,2024,5,93,0.3476729393005371,0.04611212760210037,0.6062149405479431,0.30156081169843674
HSBC,2024,6,23,0.3147062361240387,0.027719344943761826,0.6575743556022644,0.28698689118027687
HSBC,2024,7,36,0.5385562181472778,0.019423896446824074,0.44201982021331787,0.5191323217004538
HSBC,2024,8,56,0.26375630497932434,0.083184614777565,0.6530590653419495,0.18057169020175934
HSBC,2024,9,27,0.4457702338695526,0.0878283679485321,0.46640142798423767,0.3579418659210205
Lloyds,2017,0,59,0.19998371601104736,0.05996991693973541,0.7400464415550232,0.14001379907131195
Lloyds,2017,1,58,0.21140922605991364,0.042412128299474716,0.7461786866188049,0.16899709776043892
Lloyds,2017,2,51,0.2564837634563446,0.09081393480300903,0.6527021527290344,0.16566982865333557
Lloyds,2017,3,63,0.25232580304145813,0.07572630047798157,0.6719478964805603,0.17659950256347656
Lloyds,2017,4,393,0.2500149607658386,0.04639066383242607,0.7035945057868958,0.20362429693341255
Lloyds,2017,5,117,0.2971339225769043,0.03623533993959427,0.6666308641433716,0.26089858263731003
Lloyds,2017,6,36,0.2388591170310974,0.032525479793548584,0.7286152839660645,0.20633363723754883
Lloyds,2017,7,47,0.25795069336891174,0.08655732870101929,0.6554919481277466,0.17139336466789246
Lloyds,2017,8,31,0.23561440408229828,0.05405893921852112,0.7103266716003418,0.18155546486377716
Lloyds,2017,9,44,0.24557894468307495,0.09373360127210617,0.6606874465942383,0.15184534341096878
Lloyds,2018,0,63,0.14044374227523804,0.07284209877252579,0.7867140769958496,0.06760164350271225
Lloyds,2018,1,51,0.2239300012588501,0.045329585671424866,0.7307404279708862,0.17860041558742523
Lloyds,2018,2,56,0.30550655722618103,0.08483994007110596,0.6096535325050354,0.22066661715507507
Lloyds,2018,3,59,0.20308643579483032,0.06722024083137512,0.7296932935714722,0.1358661949634552
Lloyds,2018,4,377,0.24098075926303864,0.042422764003276825,0.7165963053703308,0.1985579952597618
Lloyds,2018,5,128,0.357450932264328,0.03648263216018677,0.6060667634010315,0.32096830010414124
Lloyds,2018,6,65,0.1961575150489807,0.08397039026021957,0.7198721766471863,0.11218712478876114
Lloyds,2018,7,30,0.31823596358299255,0.019835053011775017,0.6619290113449097,0.29840091057121754
Lloyds,2018,8,29,0.22499439120292664,0.04942549392580986,0.7255801558494568,0.17556889727711678
Lloyds,2018,9,28,0.1785425990819931,0.07036866247653961,0.7510887384414673,0.10817393660545349
Lloyds,2019,0,2,0.03198034316301346,0.04069504886865616,0.927324652671814,-0.0087147057056427
Lloyds,2019,1,1,0.02376503124833107,0.039637915790081024,0.9365970492362976,-0.015872884541749954
Lloyds,2019,2,1,0.1450749933719635,0.011259117163717747,0.8436658978462219,0.13381587620824575
Lloyds,2019,3,2,0.19994491338729858,0.019689012318849564,0.780366063117981,0.18025590106844902
Lloyds,2019,5,1,0.12017663568258286,0.011534290388226509,0.8682891130447388,0.10864234529435635
Lloyds,2019,6,7,0.3131648898124695,0.018406128510832787,0.6684289574623108,0.2947587613016367
Lloyds,2020,0,21,0.25410372018814087,0.05567328259348869,0.6902230381965637,0.19843043759465218
Lloyds,2020,1,48,0.2704130709171295,0.06638409197330475,0.6632028222084045,0.20402897894382477
Lloyds,2020,2,126,0.3395858108997345,0.0363137423992157,0.6241002678871155,0.3032720685005188
Lloyds,2020,3,45,0.34046003222465515,0.023796282708644867,0.6357436776161194,0.3166637495160103
Lloyds,2020,4,56,0.30618634819984436,0.025529904291033745,0.6682837605476379,0.2806564439088106
Lloyds,2020,5,523,0.342657208442688,0.05885767564177513,0.5984854102134705,0.28379953280091286
Lloyds,2020,6,13,0.26223018765449524,0.07636193186044693,0.6614078879356384,0.1858682557940483
Lloyds,2020,7,29,0.36650940775871277,0.06380480527877808,0.5696856379508972,0.3027046024799347
