bank,year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
Barclays,2017,1.4233467e-05,1.4397797e-05,1.2075336e-05,1.7404845e-05,1.1521369e-05,1.602815e-05,8.405733e-06,0.99987286,1.4952829e-05,1.811358e-05
Barclays,2018,2.6149954e-05,2.6451866e-05,2.2185002e-05,3.1976462e-05,2.1167243e-05,2.9447177e-05,0.22248384,2.501993e-05,2.7471577e-05,0.7773063
Barclays,2019,1.4430025e-05,1.4596625e-05,1.22420915e-05,1.76452e-05,1.1680474e-05,1.6249494e-05,8.521813e-06,1.3806457e-05,1.5159321e-05,0.99987566
Barclays,2020,1.2460287e-05,1.2604145e-05,1.0571012e-05,1.5236582e-05,1.0086057e-05,1.4031393e-05,7.3585616e-06,0.16799259,1.3090032e-05,0.8319119
Barclays,2021,9.55556e-06,9.665882e-06,8.106711e-06,1.1684649e-05,7.734808e-06,1.0760412e-05,5.6431427e-06,9.142634e-06,1.00385e-05,0.99991775
Barclays,2022,7.3445444e-06,7.4293403e-06,6.2309377e-06,8.980994e-06,5.9450877e-06,8.270612e-06,4.337403e-06,7.027163e-06,7.715739e-06,0.99993676
Barclays,2023,6.7547435e-06,6.83273e-06,5.7305647e-06,8.259778e-06,5.46767e-06,7.6064434e-06,3.9890892e-06,6.4628493e-06,7.0961296e-06,0.9999418
Barclays,2024,6.531817e-06,6.607229e-06,5.5414384e-06,7.987181e-06,5.2872197e-06,7.3554074e-06,3.857437e-06,6.2495556e-06,6.861936e-06,0.99994373
HSBC,2017,3.1330655e-05,3.169238e-05,2.6580186e-05,3.8311486e-05,2.5360796e-05,0.99972546,1.850267e-05,2.9976758e-05,3.2914115e-05,3.987155e-05
HSBC,2018,0.31097803,1.7484932e-05,0.08349522,0.08323309,1.3991748e-05,0.5221952,1.0208067e-05,1.653841e-05,1.8158973e-05,2.1997443e-05
HSBC,2019,0.4834366,7.833381e-06,6.5698036e-06,0.036656786,6.2684076e-06,0.47985607,4.57329e-06,7.4093314e-06,8.1353555e-06,9.855018e-06
HSBC,2020,0.9999759,2.7341644e-06,2.2931254e-06,3.3052077e-06,2.1879262e-06,3.0437714e-06,1.5962619e-06,2.586154e-06,2.8395657e-06,3.4397974e-06
HSBC,2021,0.99998033,2.2495758e-06,1.8867041e-06,2.7194105e-06,1.8001498e-06,2.5043096e-06,1.313349e-06,2.127798e-06,2.3362963e-06,2.830146e-06
HSBC,2022,0.9999824,2.008971e-06,1.6849104e-06,2.4285541e-06,1.6076136e-06,2.2364595e-06,1.1728789e-06,1.9002181e-06,2.0864163e-06,2.527446e-06
HSBC,2023,0.999982,2.0557654e-06,1.7241566e-06,2.4851217e-06,1.6450593e-06,2.2885529e-06,1.2001984e-06,1.9444794e-06,2.1350145e-06,2.5863171e-06
HSBC,2024,0.99998057,2.223064e-06,1.8644689e-06,2.6873615e-06,1.7789347e-06,2.4747958e-06,1.2978709e-06,2.1027215e-06,2.3087625e-06,2.7967922e-06
Lloyds,2017,5.852364e-06,5.919932e-06,4.965007e-06,7.156338e-06,0.99994695,6.5902836e-06,3.456179e-06,5.5994647e-06,6.1481437e-06,7.4477475e-06
Lloyds,2018,4.8481256e-06,4.904099e-06,4.113035e-06,5.928344e-06,0.999956,5.4594216e-06,2.863115e-06,4.6386226e-06,5.093151e-06,6.1697488e-06
Lloyds,2019,3.9916587e-05,4.037744e-05,3.386429e-05,4.8810463e-05,3.2310734e-05,4.4949637e-05,0.9996289,3.8191665e-05,4.193398e-05,5.0798048e-05
Lloyds,2020,5.7814636e-06,5.848213e-06,4.904857e-06,7.06964e-06,4.679842e-06,0.99994934,3.4143081e-06,5.531628e-06,6.07366e-06,7.3575193e-06
Lloyds,2021,6.425841e-06,6.5000295e-06,0.035525672,7.857592e-06,5.201437e-06,0.96442354,3.794852e-06,6.1481596e-06,6.750604e-06,8.177557e-06
Lloyds,2022,6.7585565e-06,0.16469066,0.7240555,8.264441e-06,0.10106509,0.004586276,3.991341e-06,6.466498e-06,0.0055683693,8.600972e-06
Lloyds,2023,2.5896663e-06,2.619565e-06,0.9908929,3.1666739e-06,2.0962218e-06,0.009086605,1.5293565e-06,2.4777585e-06,2.7205485e-06,3.2956223e-06
Lloyds,2024,2.3873051e-06,2.4148674e-06,0.62216234,2.919224e-06,0.3712409,0.006579913,1.4098497e-06,2.284142e-06,2.50796e-06,3.0380963e-06
Natwest,2017,0.11968595,2.402255e-05,2.0147552e-05,0.6133416,0.061310813,2.6742779e-05,1.4024864e-05,2.2722124e-05,2.4948615e-05,0.20552902
Natwest,2018,1.42135705e-05,1.43776715e-05,1.2058456e-05,0.9998768,1.15052635e-05,1.6005746e-05,8.393983e-06,1.3599356e-05,1.4931927e-05,1.808826e-05
Natwest,2019,1.066974e-05,0.018170185,9.051955e-06,0.87916833,8.636688e-06,1.2015078e-05,6.3011344e-06,1.0208666e-05,1.1208991e-05,0.10259339
Natwest,2020,7.6232686e-06,0.081743196,6.467401e-06,0.7278972,6.170703e-06,8.5844795e-06,4.5020065e-06,7.293843e-06,8.00855e-06,0.19031087
Natwest,2021,6.1623205e-06,6.2334666e-06,5.2279665e-06,0.5352088,4.9881287e-06,0.46474472,3.6392273e-06,5.896027e-06,6.473765e-06,7.842199e-06
Natwest,2022,6.6686744e-06,6.7456667e-06,5.6575454e-06,0.9999422,5.398e-06,7.5095213e-06,3.9382603e-06,6.380499e-06,7.0057104e-06,8.486588e-06
Natwest,2023,7.0093397e-06,7.090265e-06,5.946558e-06,0.9999392,5.673754e-06,7.893142e-06,4.139444e-06,6.706444e-06,7.3635933e-06,8.92012e-06
Natwest,2024,4.397538e-06,4.448309e-06,3.730767e-06,5.3773597e-06,0.9999599,4.9520195e-06,2.5970153e-06,4.207506e-06,4.61979e-06,5.5963283e-06
Santander,2017,1.1691411e-05,1.1826393e-05,0.19223446,0.5827657,9.463686e-06,1.3165571e-05,6.9044936e-06,0.028669516,0.19626243,1.48785475e-05
Santander,2018,2.1264725e-05,2.1510234e-05,1.804049e-05,0.7703745,1.7212866e-05,2.3945975e-05,1.2558121e-05,2.0345808e-05,0.22946359,2.7061595e-05
Santander,2019,3.3217868e-05,3.360138e-05,2.8181252e-05,4.0619187e-05,2.688841e-05,3.7406277e-05,1.9617182e-05,3.1782416e-05,0.9997064,4.227322e-05
Santander,2020,1.487322e-05,1.5044937e-05,1.2618088e-05,1.8187144e-05,1.20392215e-05,1.674857e-05,8.783546e-06,1.42305e-05,0.9998685,1.8927733e-05
Santander,2021,1.4128797e-05,1.429192e-05,1.1986537e-05,1.7276856e-05,1.1436644e-05,1.5910286e-05,8.343919e-06,1.3518246e-05,0.9998751,1.7980377e-05
Santander,2022,1.3520357e-05,1.3676456e-05,1.1470352e-05,1.653285e-05,1.0944138e-05,1.5225128e-05,7.984599e-06,1.29361e-05,0.9998805,1.7206074e-05
Santander,2023,9.458179e-06,9.567378e-06,8.024095e-06,1.156557e-05,7.655983e-06,1.0650752e-05,5.5856335e-06,9.0494605e-06,0.99991643,1.2036526e-05
Santander,2024,6.328935e-06,6.402005e-06,0.11375535,7.739094e-06,5.122996e-06,7.1269446e-06,3.7376233e-06,6.055441e-06,0.5641118,0.3220903
StandardChartered,2017,7.4112713e-06,0.7660218,6.287547e-06,9.062587e-06,5.9991e-06,8.345752e-06,4.376809e-06,0.23391952,7.7858385e-06,9.43162e-06
StandardChartered,2018,2.9716528e-05,3.0059617e-05,2.5210798e-05,3.633771e-05,2.4054229e-05,3.3463457e-05,1.7549428e-05,0.9997346,3.1218406e-05,3.78174e-05
StandardChartered,2019,2.3868575e-05,2.4144147e-05,2.0249534e-05,2.9186767e-05,1.9320567e-05,2.6878142e-05,1.4095854e-05,0.9997868,2.5074896e-05,3.0375266e-05
StandardChartered,2020,2.9320565e-05,2.9659082e-05,2.4874873e-05,3.585352e-05,2.3733715e-05,3.3017568e-05,1.7315588e-05,0.9997381,3.0802432e-05,3.7313497e-05
StandardChartered,2021,1.5586123e-05,0.75140744,1.3222898e-05,1.905889e-05,1.2616285e-05,0.18257976,9.204559e-06,0.041202456,0.024720727,1.9834977e-05
